timeOpen,timeClose,timeHigh,timeLow,priceOpen,priceHigh,priceLow,priceClose,volume
1653480000000,1653566399999,1653490860000,1653539820000,328.19568834430873,336.66604170652204,324.54854488180575,325.73480575939783,2008481371.74
1653393600000,1653479999999,1653473940000,1653444960000,316.8508326727037,329.81867658058604,313.5508962990606,328.18934584942025,2002782969.1
1653307200000,1653393599999,1653366300000,1653391200000,319.5171331156382,336.3075341838824,316.34974399536117,316.7605566018539,2228144099.35
1653220800000,1653307199999,1653257040000,1653221760000,312.4880427828628,322.85701492358527,311.8273197403099,319.6090119232306,1604297405.63
1653134400000,1653220799999,1653203160000,1653139860000,302.36592307510637,313.6601536941093,300.1300792277952,312.46603337988245,1318736979.28
1653048000000,1653134399999,1653091380000,1653108480000,306.7810729143085,315.2738655412126,294.76081299545075,302.3592139932215,1756670714.17
1652961600000,1653047999999,1653018600000,1652969760000,287.4504850018503,307.95979913898594,287.2145925867073,306.79156117300965,1646882950.02
1652875200000,1652961599999,1652876520000,1652961540000,305.98987722541426,307.7114712271721,287.4387925171558,287.4387925171558,1520090732.21
1652788800000,1652875199999,1652838360000,1652855760000,297.6993210351457,310.1944699201091,296.96179595859417,305.96344161483995,1584497814.56
1652702400000,1652788799999,1652702460000,1652728560000,312.0841453734091,312.1442629127218,290.4618143448843,297.7101276258072,1754184297.64
1652616000000,1652702399999,1652702100000,1652628720000,297.39735846106515,312.17655906665215,286.6437536943064,312.0077300317148,1611088257.05
1652529600000,1652615999999,1652536320000,1652580600000,290.61807697366373,298.80286770150474,272.65114660663926,297.3875953486423,1884570403.53
1652443200000,1652529599999,1652496180000,1652444700000,269.14273821861923,312.6887963472644,265.70959098393905,290.58418403976015,2774121165.18
1652356800000,1652443199999,1652411400000,1652383140000,269.8880071712337,283.47511296330964,216.36150196147753,269.40726132743765,4739990236.87
1652270400000,1652356799999,1652271960000,1652347860000,319.122782140709,322.7668151234793,262.6204481610582,269.96277472623177,3870618667.74
1652184000000,1652270399999,1652208360000,1652185980000,298.82072140741934,332.4388293349653,290.5867868107592,319.32696888181096,3210603808.6
1652097600000,1652183999999,1652100360000,1652183940000,355.3774116840808,358.9507148462997,299.34894203341753,299.34894203341753,2943374129.39
1652011200000,1652097599999,1652012040000,1652074980000,365.73301341012916,366.5095932403513,351.14376121747733,355.39872924664377,1875845651.19
1651924800000,1652011199999,1651925820000,1652007360000,379.2881845279942,380.3874268846253,361.19559507475714,365.6841073290043,1527960118.99
1651838400000,1651924799999,1651893900000,1651888140000,378.75675318569796,382.68110376125463,371.9733412120621,379.3042764396588,1834770715.6
1651752000000,1651838399999,1651790760000,1651821540000,402.46521287792996,412.4003743177474,372.5527668440381,378.77361963610855,2389487319.27
1651665600000,1651751999999,1651740000000,1651665900000,383.4835433013598,402.8627111784662,383.4280505909699,402.502652058844,1714496792.44
1651579200000,1651665599999,1651587720000,1651652700000,389.63415037564147,391.7547749410911,380.34621927869506,383.47579782600087,1295877764.76
1651492800000,1651579199999,1651514880000,1651558620000,390.26126792941704,392.2166912696453,382.7744097749495,389.6706530239227,1388077916.83
1651406400000,1651492799999,1651490940000,1651412220000,377.7656539100758,391.07698687171455,377.28994355987675,390.2819754681859,1553846705.53
1651320000000,1651406399999,1651345320000,1651406340000,392.99853561231356,399.5930709639432,377.767826730606,377.767826730606,1467605770.29
1651233600000,1651319999999,1651239060000,1651305300000,406.6417339452092,410.17577346709584,390.5399627360572,393.06215356104474,1928209754.42
1651147200000,1651233599999,1651230060000,1651167960000,391.43864753915966,408.23246519791934,388.87766804618224,406.71820349672913,2116381172.34
1651060800000,1651147199999,1651090920000,1651063740000,385.5621789442328,394.4585290213334,384.0776990418006,391.44583360319376,1512587368.66
